id,pos_id,pos_type,address,city,bban,iban,merchant_id,merchant_name,merchant_fee,registered_date,last_update_date
35,FSN964622950,Ingenico,"Medlovská 6, 461 32 Nové Sedlo",Plzeň,KNLI30917353394688,GB23OWJI33825294691188,295054132,Králová s.r.o.,0.29,2000-02-11,2023-07-01
36,RWX366842746,Nixdorf,"Před Rybníkem 29, 265 96 Hranice (okres Cheb)",Praha,YHMQ05392750670820,GB84KDCV80952030844471,298293719,Jelínková Malá o.s.,0.23,1995-04-05,2023-06-15
37,UMS739560837,Ingenico,"Anny Drabíkové 21, 398 03 Svoboda nad Úpou",Plzeň,TFXB71571339046033,GB83ALAU55729187222366,220314470,Němec o.s.,0.27,1993-07-24,2023-06-22
38,KGO860206074,PAX,"Jižní 347, 564 87 Šluknov",Brno,HYRL01660168288662,GB16ENQH63393739072837,857680734,Kadlec Holubová a.s.,0.22,1997-03-04,2022-11-15
39,BFM336052462,Verifone,"Žižkova 9, 672 71 Jesenice (okres Rakovník)",Praha,TRKX07947765317112,GB10VGMF89085596651030,571309730,Horáková o.s.,0.27,1992-01-21,2023-07-28
40,ZFM200603269,Verifone,"K Brusce 808, 717 41 Planá nad Lužnicí",Golčův Jeníkov,NJZR88144043157397,GB14QDVW58537501064638,464644954,Křížová Kratochvíl o.s.,0.24,2004-11-03,2023-08-22
41,NLZ129008312,Ingenico,"Kostková 39, 593 52 Dašice",Plzeň,SHRK26559709128229,GB43VJJP62210601252000,660995157,Vávrová s.r.o.,0.2,2022-06-23,2023-07-21
42,DVD794068216,Ingenico,"K Lipám 25, 542 18 Měčín",Praha,QHAC93850517622341,GB36QADI28960243531483,319614969,Bartošová a.s.,0.22,2012-06-28,2023-01-28
43,KAR040844881,PAX,"U Waltrovky 94, 524 96 Krásno",Plzeň,KJYC15866368770182,GB91KUYL78224928523862,116078437,Šťastný,0.26,2021-05-12,2023-02-01
44,ZSB106466979,PAX,"Boršov 5, 691 34 Roztoky",Plzeň,MVLH91217855668115,GB10JEDV01701232871379,735798296,Mašek Bartoš o.s.,0.21,2016-08-08,2023-01-13
45,DFT544138597,PAX,"Čuprova 883, 734 60 Přelouč",Ostrava,HZDD38850103394093,GB49VGSI83466802042112,395003520,Marešová o.s.,0.25,2021-11-15,2022-11-19
46,AWS178485934,Nixdorf,"Podle Náhonu 1, 266 46 Golčův Jeníkov",Brno,NTQD29880509316451,GB94MDII71651823553405,215416229,Růžička a.s.,0.28,2009-05-02,2022-10-12
47,QUU065206594,Nixdorf,"K Nádrži 97, 399 44 Lučany nad Nisou",Ostrava,WMFO63298865914339,GB74OLTN98973815490505,884843533,Malá Hájková a.s.,0.21,2017-01-29,2023-09-07
48,XCO004139431,Nixdorf,"Červenkova 7, 656 33 Velká Bystřice",Brno,GVZN59973248116129,GB82BYXY17746857341458,549407724,Jelínek a.s.,0.2,1995-01-28,2022-11-18
49,WTH746292136,Verifone,"Průjezdná 47, 210 89 Kladno",Plzeň,ECTM86111909467995,GB94GDYX22286844580414,968340271,Krejčová,0.21,2003-07-22,2022-11-19
50,NOY653583314,Verifone,"Nad Návsí 701, 143 79 Javorník",Praha,YOPI39156166535395,GB64LBPO89335798864760,178756429,Urbanová,0.23,2009-03-29,2022-12-28
51,SBQ942580787,Ingenico,"Františka Černého 171, 309 12 Borovany",Ostrava,JWHN52119984906862,GB21WHFO92485587391128,290465286,Pokorná a.s.,0.28,2008-07-08,2022-10-03
52,DHH719136776,Nixdorf,"Čestmírova 81, 701 59 Seč",Ostrava,RYBX46823952979206,GB91BIJN27079545344315,995904437,Zeman a.s.,0.22,2016-06-23,2023-06-28
53,UVP324428433,Ingenico,"Kosmonoská 9, 119 43 Pardubice",Ostrava,JMNL96108222988488,GB80OXTM24491204133602,382055379,Němec Čermáková a.s.,0.24,2015-04-04,2023-08-17
54,WZN054178456,Verifone,"Šermířská 26, 310 50 Hořice",Brno,IMWQ81279094926128,GB97OMML13919038569696,533021390,Procházka,0.25,2022-01-19,2023-06-22
55,XUW996732984,Ingenico,"Prusíkova 4, 272 09 Pec pod Sněžkou",Praha,XZFK71993379979077,GB17JYQX47898818717447,511775521,Bartoš Holub o.s.,0.22,2002-02-23,2023-05-10
56,USU872146432,Verifone,"Trytova 66, 392 60 Horní Bříza",Brno,ETHL43292247085949,GB34FEIZ24927820983844,888494479,Bartoš Bartošová a.s.,0.27,2004-11-29,2023-08-17
57,FBD076854073,PAX,"Novákovo Náměstí 473, 390 68 Ledeč nad Sázavou",Praha,JHOT62584102203959,GB78QIRH35441644340408,921756271,Blažková o.s.,0.29,2003-12-31,2023-04-10
58,XGP414923536,PAX,"Roblínská 1, 547 31 Smečno",Praha,DRMB17363524773382,GB41LIRL05729904301568,164126457,Vlčková s.r.o.,0.27,1994-10-24,2023-05-31
59,PFV611647865,PAX,"Olympijská 675, 253 05 Skalná",Praha,IQCT58898947519519,GB71AVMQ86713846306733,629266469,Urban,0.21,2019-11-05,2023-02-04
60,VGH302481319,Nixdorf,"Svojsíkova 224, 533 56 Lovosice",Plzeň,MKXB40611510273624,GB37DOGF03117764583846,525635031,Čermáková Blažek o.s.,0.24,2014-06-09,2022-11-21
61,FSE371582584,PAX,"Jablonecká 5, 354 21 Karolinka",Brno,ZIHZ86694421342972,GB12BYDN07420233477151,458821992,Růžičková,0.29,1997-11-17,2022-12-21
62,AVG069107736,Ingenico,"Podohradská 687, 449 40 Sezemice",Ostrava,GXVF79963790137512,GB78EHHA15028022160994,708993608,Novotný Moravec s.r.o.,0.26,1993-04-22,2023-01-01
63,MFV868928224,PAX,"Thurnova 8, 597 77 Plánice",Ostrava,UKZP79860448041490,GB20MNBI65859092956507,824948525,Moravec Jandová a.s.,0.26,1998-10-14,2023-01-23
64,XXE376017881,Nixdorf,"Kalská 3, 195 71 Třebechovice pod Orebem",Brno,JWBB92962095918363,GB96RPVY38600506034060,112285464,Vávrová,0.23,1991-12-22,2023-07-24
65,TIB115154908,Ingenico,"K Vodě 8, 375 68 Luhačovice",Ostrava,RJPV99797426588849,GB58YROO84948444369724,611189051,Vacková Bartošová s.r.o.,0.21,2005-10-25,2023-08-20
66,PYO920024277,Ingenico,"U Větrníku 69, 777 21 Sedlec-Prčice",Brno,FBWN91650410431789,GB79ZLHX05142033815250,706609959,Kratochvílová,0.2,2015-01-25,2022-12-02
67,LSQ067386431,PAX,"Moravanů 961, 404 69 Vysoké Veselí",Liberec,QKSQ14935718940689,GB89EIJX56990747466162,807584710,Malá,0.24,2019-11-29,2023-03-13
68,PGU600373827,Ingenico,"Podlešínská 2, 391 64 Březnice",Liberec,SVEM41863092582836,GB88JIZH51214501498947,302303708,Vaňková Fialová s.r.o.,0.24,2004-03-18,2023-03-10
69,TYQ194009199,PAX,"Kotrčová 5, 500 50 Dubňany",Brno,RCSQ41888912444957,GB97GTZS83283226440296,111141403,Jandová o.s.,0.27,1992-01-29,2023-06-14
70,MOX704602898,PAX,"Mládkova 83, 459 27 Rtyně v Podkrkonoší",Brno,POFJ49818667099342,GB95ZYNF76382855455339,742367076,Procházka Čermák o.s.,0.21,1993-12-30,2022-12-05
71,DAF507269881,Ingenico,"Grammova 33, 725 72 Mníšek pod Brdy",Plzeň,WDAO87334269324284,GB10AKBM73765553800527,159740289,Beranová Pokorná s.r.o.,0.3,1999-10-18,2023-07-13
72,TDX225624764,PAX,"Neužilova 56, 482 35 Pečky",Praha,ZFHH00751299644597,GB88ZQOU51111591025451,237577285,Svobodová s.r.o.,0.29,2007-04-19,2023-03-22
73,TDS248481728,Verifone,"K Brusce 1, 137 57 Liběchov",Liberec,EYHS71850381316924,GB48XLGR32580108905543,242341636,Beranová s.r.o.,0.3,1999-09-25,2023-01-17
74,TMY711985390,Nixdorf,"U Větrníku 986, 335 14 Městec Králové",Praha,PXWY53530234371950,GB25STJA67168819305067,421812878,Soukupová,0.28,2003-08-07,2023-03-16
75,PEK387856233,Ingenico,"Mezi Lysinami 27, 757 70 Přelouč",Praha,ZXBW68261409777924,GB83ANJY09194060712295,287591960,Bláhová,0.27,2005-06-04,2022-12-06
76,DTM272278709,Nixdorf,"Bazovského 78, 345 47 Ronov nad Doubravou",Ostrava,MWNN50619906214598,GB59CEMJ40996405276606,520116993,Novotný Dvořáková s.r.o.,0.24,2021-06-10,2023-09-19
77,LIE801087995,PAX,"Petřínská 6, 460 64 Janovice nad Úhlavou",Praha,ABNC42650163507028,GB32XSMB04690901943431,853373140,Malá,0.26,2007-12-14,2022-11-23
78,HXP134601328,Nixdorf,"Doubravická 294, 740 22 Stříbro",Brno,VIHA06274772763933,GB69CWIX20942963847010,348419276,Tichá,0.28,1993-08-16,2023-03-21
79,GAO271798646,Ingenico,"Křimická 75, 128 82 Mýto",Ostrava,XMHY16176401951621,GB15ICIQ10524501370153,413701913,Dvořáková,0.3,2017-08-23,2023-02-09
80,XDZ710149506,PAX,"Jarešova 69, 232 35 Kunovice",Brno,XRKK23117325369453,GB91GANS92879220496977,734786004,Soukupová Urbanová s.r.o.,0.27,1991-10-24,2023-01-10
81,NXG325534219,PAX,"Vlašimská 5, 157 62 Horní Jiřetín",Brno,MPUN05967323621262,GB44XMLF73766652192538,262356849,Vávrová Hájková o.s.,0.23,1992-05-18,2023-09-06
82,CZX367589230,Ingenico,"Bořetínská 93, 496 06 Rabí",Praha,ZYQE92501872973822,GB59VCDB09194815641387,823440847,Soukup o.s.,0.3,1997-10-24,2023-04-28
83,BYW160939560,Ingenico,"Thurnova 133, 675 48 Kladruby",Plzeň,PVEP00575860864095,GB13UEHL43936090114156,617364906,Mašek o.s.,0.22,1994-01-14,2022-09-24
84,EDA814797556,Verifone,"Horní Chaloupky 243, 463 74 Rovensko pod Troskami",Brno,APZD35579808402212,GB86DIVK10603045398117,170148559,Němec Doležal a.s.,0.26,2014-04-06,2022-10-09
85,UZT538205498,Nixdorf,"Meziškolská 50, 761 22 Ronov nad Doubravou",Ostrava,USEY93303809387963,GB37HVEQ34152071025755,923398048,Moravcová Blažková o.s.,0.23,2008-04-19,2023-03-01
86,OFM486979994,Ingenico,"Dělnická 237, 115 64 Havířov",Praha,RZWZ84268322127228,GB02EKCZ29941692641353,345497066,Marková,0.2,2008-08-02,2023-09-18
87,PSY665414052,PAX,"Lehárova 90, 611 33 Třeboň",Brno,VBNX76842767759358,GB46LYJP28065555296364,578871062,Kříž,0.22,2005-07-15,2023-04-03
88,QBU806688961,Ingenico,"Nýdecká 370, 501 80 Abertamy",Praha,NYFH38664683337825,GB86BKUD73765700743103,187523975,Kadlec s.r.o.,0.21,2009-11-15,2022-10-21
89,EEM405336413,Ingenico,"Lovčenská 716, 489 91 Hořice",Liberec,ZHTO46644725034786,GB45PDNV25679500928828,783941217,Svobodová a.s.,0.25,2005-12-02,2023-04-07
90,FVG331605271,Nixdorf,"Vlastislavova 138, 546 08 Dolní Bousov",Ostrava,NCFH38092968268224,GB71VDZO78474274957565,777888016,Svobodová s.r.o.,0.27,2009-01-16,2022-11-07
91,HXY518350504,PAX,"Josefa Šimůnka 826, 345 17 Bechyně",Brno,UAOU78039164990627,GB79TLOG77270303183993,940423782,Horáková o.s.,0.25,2001-05-19,2022-10-21
92,EBV144841997,Ingenico,"Nad Krocínkou 9, 591 64 Karlovy Vary",Brno,PPIW15671596488487,GB75WTLX14960124941099,324563723,Mareš Bláha s.r.o.,0.28,2000-07-09,2023-05-20
93,XMJ875518072,Ingenico,"Vlašimská 79, 483 99 Hrádek",Brno,DSCJ69475028145548,GB48GVEG65334999277188,393194209,Poláková,0.2,2008-07-18,2023-07-04
94,TJO809972801,Ingenico,"Severovýchodní Vi 6, 170 77 Lišov",Plzeň,JPQF84288042239932,GB65HZXB33575831914264,639107893,Dušek s.r.o.,0.26,2003-05-19,2023-04-02
95,PJP329699018,PAX,"Spolupráce 460, 210 33 Starý Plzenec",Ostrava,ASSS30985296000822,GB93CWMF81117801791977,424613595,Dvořáková,0.21,1994-05-26,2022-11-12
96,NCH146594266,Verifone,"Vraňanská 146, 113 02 Frýdek-Místek",Plzeň,VNTH21708067457883,GB96UTGN58586498188532,534766639,Marešová,0.28,1992-08-20,2023-03-11
97,EKC577853471,Ingenico,"Hostivařské Nám. 4, 524 86 Kryry",Ostrava,BPHB09854587516456,GB13AEQJ52012897846409,898001392,Novotná Poláková o.s.,0.28,2012-05-04,2022-12-17
98,PKJ550976990,PAX,"Ambrožova 6, 235 59 Husinec",Ostrava,DEMK77660794094475,GB87ZSPF21347599987635,765462141,Čermáková s.r.o.,0.29,2021-06-12,2023-04-20
99,UOC035045444,Ingenico,"Estonská 69, 327 92 Vyšší Brod",Brno,YPQH83389041834766,GB63LXGH39745407387857,100532748,Kopecký a.s.,0.26,1999-08-23,2023-06-12
100,YZA947375430,Ingenico,"Libuňská 10, 718 01 Police nad Metují",Praha,ZATI77437018857397,GB31UXXB04153615898972,432437113,Jelínková,0.23,2003-12-03,2023-02-06
